                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    133,                 1.2524,                0.61166,                0.98341,                0.92593,                0.90675,                0.95232,                0.58023,                 1.1083,                0.46489,                   0.96,              0.0048953,              0.0048953,              0.0048953
                    134,                 1.2395,                0.60826,                0.98116,                0.93603,                0.90209,                0.95131,                0.57943,                 1.1118,                0.46633,                0.96084,              0.0048566,              0.0048566,              0.0048566
                    135,                 1.2544,                 0.6131,                0.99062,                0.93871,                0.90043,                 0.9521,                0.57865,                 1.1111,                0.46637,                0.96274,               0.004818,               0.004818,               0.004818
                    136,                 1.2431,                0.60729,                0.97874,                0.93259,                0.90308,                 0.9538,                0.58059,                 1.1112,                0.46297,                 0.9623,              0.0047793,              0.0047793,              0.0047793
                    137,                 1.2427,                0.61187,                0.97668,                0.93358,                0.89905,                0.95295,                0.57927,                 1.1144,                0.46559,                0.96317,              0.0047406,              0.0047406,              0.0047406
                    138,                  1.236,                0.60601,                0.97611,                0.92901,                0.90604,                0.95307,                0.57899,                 1.1159,                0.46399,                0.96565,               0.004702,               0.004702,               0.004702
                    139,                 1.2404,                0.60458,                0.98001,                0.92941,                0.90729,                0.95296,                0.57952,                   1.11,                0.46437,                0.96327,              0.0046633,              0.0046633,              0.0046633
                    140,                 1.2333,                0.60505,                0.97729,                0.92698,                0.91248,                0.95313,                0.58118,                 1.1083,                0.46299,                 0.9627,              0.0046246,              0.0046246,              0.0046246
                    141,                 1.2281,                0.60349,                0.97754,                0.92472,                0.91263,                0.95293,                 0.5816,                 1.1123,                0.46532,                0.96525,              0.0045859,              0.0045859,              0.0045859
                    142,                 1.2244,                 0.5982,                0.97571,                0.94296,                0.89581,                0.95381,                0.58184,                 1.1085,                0.46324,                0.96403,              0.0045473,              0.0045473,              0.0045473
                    143,                 1.2326,                0.60358,                0.97215,                 0.9323,                0.90208,                0.95386,                0.58361,                 1.1075,                0.46652,                0.96363,              0.0045086,              0.0045086,              0.0045086
                    144,                 1.2256,                0.60166,                0.97567,                 0.9451,                0.89482,                0.95317,                0.58266,                 1.1086,                0.46964,                0.96225,              0.0044699,              0.0044699,              0.0044699
                    145,                 1.2217,                0.59662,                0.97606,                0.94089,                0.90043,                0.95333,                0.58206,                 1.1072,                0.46541,                0.96115,              0.0044313,              0.0044313,              0.0044313
                    146,                 1.2253,                0.60076,                0.97483,                0.94259,                0.89869,                0.95336,                0.58252,                 1.1069,                  0.465,                0.96159,              0.0043926,              0.0043926,              0.0043926
                    147,                  1.223,                0.59588,                0.97696,                0.94101,                0.89936,                0.95338,                0.58235,                 1.1078,                0.46428,                0.96035,              0.0043539,              0.0043539,              0.0043539
